canal A	canal B	canal C	ABC	AB	AC
72	57	48	0	48	57
65	46	51	0	51	46
65	55	45	0	45	55
54	44	42	0	42	44
63	44	45	0	45	44
62	45	50	0	50	45
63	47	52	0	52	47
57	44	38	0	38	44
72	54	51	0	51	54
74	55	51	0	51	55
58	46	39	0	39	46
64	53	45	0	45	53
68	50	56	0	56	50
72	50	54	0	54	50
64	48	51	0	51	48
54	39	39	0	39	39
55	43	44	0	44	43
59	42	44	0	44	42
64	54	53	0	53	54
66	53	45	0	45	53
66	53	48	0	48	53
48	30	41	0	41	30
65	51	47	0	47	51
65	53	47	0	47	53
68	47	52	0	52	47
57	37	48	0	48	37
47	34	36	0	36	34
78	59	58	0	58	59
60	48	45	0	45	48
64	46	45	0	45	46
69	53	53	0	53	53
51	42	37	0	37	42
49	31	39	0	39	31
56	43	41	0	41	43
59	40	45	0	45	40
71	53	62	0	62	53
73	57	57	0	57	57
67	53	47	0	47	53
62	36	51	0	51	36
75	57	50	0	50	57
55	43	36	0	36	43
62	49	48	0	48	49
67	52	48	0	48	52
63	51	48	0	48	51
57	42	46	0	46	42
65	48	48	0	48	48
87	65	65	0	65	65
64	41	50	0	50	41
73	54	50	0	50	54
63	47	47	0	47	47
56	43	40	0	40	43
81	58	59	0	59	58
65	49	46	0	46	49
70	50	55	0	55	50
69	51	47	0	47	51
52	45	41	0	41	45
62	51	43	0	43	51
68	50	55	0	55	50
60	44	47	0	47	44
60	46	45	0	45	46
56	44	45	0	45	44
40	26	30	0	30	26
61	45	45	0	45	45
54	40	40	0	40	40
62	41	50	0	50	41
61	47	47	0	47	47
61	42	49	0	49	42
72	54	54	0	54	54
60	44	37	0	37	44
64	48	46	0	46	48
54	43	39	0	39	43
62	48	45	0	45	48
65	50	47	0	47	50
75	57	57	0	57	57
59	50	40	0	40	50
51	37	46	0	46	37
55	38	47	0	47	38
60	46	45	0	45	46
59	40	50	0	50	40
74	55	54	0	54	55
57	43	39	0	39	43
63	42	50	0	50	42
58	44	45	0	45	44
43	32	34	0	34	32
55	39	42	0	42	39
57	42	43	0	43	42
64	48	47	0	47	48
69	47	51	0	51	47
63	48	46	0	46	48
64	42	47	0	47	42
59	44	47	0	47	44
62	44	49	0	49	44
60	40	49	0	49	40
79	58	61	0	61	58
51	39	45	0	45	39
63	53	43	0	43	53
58	37	40	0	40	37
62	51	44	0	44	51
70	49	50	0	50	49
80	58	65	0	65	58
62	41	45	0	45	41
75	52	56	0	56	52
62	45	51	0	51	45
67	53	54	0	54	53
68	52	55	0	55	52
69	53	52	0	52	53
68	47	50	0	50	47
75	54	53	0	53	54
63	45	48	0	48	45
52	40	37	0	37	40
51	41	35	0	35	41
52	41	34	0	34	41
46	33	37	0	37	33
50	33	34	0	34	33
52	42	37	0	37	42
71	54	46	0	46	54
66	51	52	0	52	51
49	33	37	0	37	33
61	51	43	0	43	51
48	36	36	0	36	36
50	36	38	0	38	36
69	57	50	0	50	57
57	43	42	0	42	43
76	61	60	0	60	61
60	46	48	0	48	46
46	32	35	0	35	32
52	40	38	0	38	40
57	38	42	0	42	38
59	38	44	0	44	38
74	52	58	0	58	52
73	53	51	0	51	53
61	44	47	0	47	44
68	46	51	0	51	46
57	42	43	0	43	42
68	52	51	0	51	52
62	49	44	0	44	49
83	60	56	0	56	60
75	52	52	0	52	52
63	52	47	0	47	52
58	44	47	0	47	44
62	45	50	0	50	45
57	42	43	0	43	42
55	42	37	0	37	42
61	44	49	0	49	44
56	42	40	0	40	42
56	43	41	0	41	43
71	57	52	0	52	57
60	48	37	0	37	48
56	35	46	0	46	35
38	26	26	0	26	26
61	45	49	0	49	45
77	57	52	0	52	57
61	49	38	0	38	49
63	40	52	0	52	40
61	49	40	0	40	49
66	50	54	0	54	50
66	52	42	0	42	52
45	33	31	0	31	33
60	45	44	0	44	45
65	46	54	0	54	46
56	39	44	0	44	39
63	45	50	0	50	45
71	48	60	0	60	48
67	52	55	0	55	52
61	48	52	0	52	48
49	38	40	0	40	38
57	42	38	0	38	42
49	31	42	0	42	31
66	51	44	0	44	51
77	56	56	0	56	56
82	59	65	0	65	59
72	57	53	0	53	57
73	57	51	0	51	57
50	40	33	0	33	40
64	47	48	0	48	47
66	52	50	0	50	52
63	48	42	0	42	48
77	58	58	0	58	58
64	46	56	0	56	46
64	50	45	0	45	50
64	50	48	0	48	50
64	44	52	0	52	44
62	47	43	0	43	47
82	64	56	0	56	64
57	40	48	0	48	40
67	49	56	0	56	49
65	49	50	0	50	49
62	46	46	0	46	46
58	44	49	0	49	44
63	45	43	0	43	45
52	33	48	0	48	33
57	45	41	0	41	45
62	46	48	0	48	46
70	44	55	0	55	44
62	52	39	0	39	52
60	42	43	0	43	42
78	59	60	0	60	59
68	49	45	0	45	49
61	47	42	0	42	47
56	49	44	0	44	49
62	42	45	0	45	42
70	45	58	0	58	45
73	48	54	0	54	48
66	49	50	0	50	49
56	42	45	0	45	42
56	42	45	0	45	42
72	57	50	0	50	57
61	50	45	0	45	50
64	45	48	0	48	45
57	41	42	0	42	41
67	49	48	0	48	49
69	50	53	0	53	50
63	51	44	0	44	51
73	50	58	0	58	50
60	46	48	0	48	46
65	44	46	0	46	44
61	48	49	0	49	48
71	51	60	0	60	51
46	30	37	0	37	30
62	50	42	0	42	50
69	53	52	0	52	53
54	38	42	0	42	38
60	37	40	0	40	37
63	46	44	0	44	46
59	45	51	0	51	45
58	45	48	0	48	45
58	46	43	0	43	46
69	49	46	0	46	49
65	50	48	0	48	50
66	48	60	0	60	48
57	45	42	0	42	45
52	46	40	0	40	46
57	45	41	0	41	45
69	54	52	0	52	54
57	40	41	0	41	40
68	46	52	0	52	46
42	32	28	0	28	32
72	52	56	0	56	52
68	50	47	0	47	50
56	40	44	0	44	40
61	43	43	0	43	43
60	47	45	0	45	47
57	43	37	0	37	43
59	43	44	0	44	43
62	47	47	0	47	47
78	52	64	0	64	52
56	45	37	0	37	45
54	41	46	0	46	41
58	46	43	0	43	46
47	39	33	0	33	39
54	41	37	0	37	41
66	54	53	0	53	54
76	57	53	0	53	57
59	46	42	0	42	46
68	49	49	0	49	49
66	50	47	0	47	50
52	38	40	0	40	38
69	52	54	0	54	52
56	45	42	0	42	45
61	39	50	0	50	39
53	43	38	0	38	43
59	43	44	0	44	43
62	51	43	0	43	51
59	38	47	0	47	38
61	49	48	0	48	49
66	51	46	0	46	51
49	39	34	0	34	39
73	49	58	0	58	49
60	48	40	0	40	48
63	46	47	0	47	46
64	48	49	0	49	48
68	51	54	0	54	51
56	38	42	0	42	38
55	40	42	0	42	40
63	46	49	0	49	46
61	48	42	0	42	48
67	49	54	0	54	49
51	44	35	0	35	44
67	50	53	0	53	50
56	39	45	0	45	39
71	59	49	0	49	59
42	28	29	0	29	28
58	49	39	0	39	49
63	51	48	0	48	51
62	47	42	0	42	47
58	41	43	0	43	41
58	42	42	0	42	42
78	57	53	0	53	57
53	39	34	0	34	39
66	50	51	0	51	50
68	53	50	0	50	53
61	47	37	0	37	47
62	46	44	0	44	46
49	38	35	0	35	38
59	47	42	0	42	47
62	45	39	0	39	45
56	40	48	0	48	40
56	43	37	0	37	43
65	50	46	0	46	50
68	51	47	0	47	51
61	48	45	0	45	48
49	37	36	0	36	37
60	46	45	0	45	46
61	53	43	0	43	53
65	49	53	0	53	49
57	41	45	0	45	41
64	43	49	0	49	43
