canal A	canal B	canal C	ABC	AB	AC
64	51	46	0	46	51
61	48	44	0	44	48
65	44	48	0	48	44
71	55	55	0	55	55
55	37	46	0	46	37
75	51	58	0	58	51
61	44	48	0	48	44
72	54	53	0	53	54
51	37	39	0	39	37
67	51	48	0	48	51
63	49	53	0	53	49
77	57	63	0	63	57
54	43	41	0	41	43
54	44	43	0	43	44
69	51	54	0	54	51
48	35	36	0	36	35
56	41	43	0	43	41
67	50	47	0	47	50
72	56	51	0	51	56
64	46	56	0	56	46
55	38	43	0	43	38
62	50	40	0	40	50
73	54	55	0	55	54
67	51	48	0	48	51
54	36	40	0	40	36
58	45	43	0	43	45
61	47	48	0	48	47
62	48	47	0	47	48
64	48	51	0	51	48
56	40	44	0	44	40
43	36	33	0	33	36
49	40	31	0	31	40
64	48	48	0	48	48
57	44	40	0	40	44
68	50	48	0	48	50
68	49	52	0	52	49
75	51	60	0	60	51
61	46	43	0	43	46
54	35	40	0	40	35
62	50	46	0	46	50
68	51	49	0	49	51
67	50	60	0	60	50
60	47	48	0	48	47
65	47	50	0	50	47
60	43	47	0	47	43
74	56	53	0	53	56
61	48	40	0	40	48
69	49	53	0	53	49
57	38	44	0	44	38
71	50	57	0	57	50
53	42	39	0	39	42
49	40	36	0	36	40
67	47	57	0	57	47
55	39	46	0	46	39
62	49	45	0	45	49
74	60	56	0	56	60
52	45	30	0	30	45
70	52	53	0	53	52
57	41	40	0	40	41
54	42	40	0	40	42
60	45	44	0	44	45
69	58	47	0	47	58
54	42	39	0	39	42
61	46	49	0	49	46
53	33	41	0	41	33
54	45	44	0	44	45
65	52	47	0	47	52
70	54	49	0	49	54
61	43	50	0	50	43
70	54	57	0	57	54
55	41	44	0	44	41
82	60	62	0	62	60
53	39	43	0	43	39
47	32	39	0	39	32
72	55	57	0	57	55
60	47	42	0	42	47
72	50	54	0	54	50
59	48	41	0	41	48
63	46	46	0	46	46
57	46	40	0	40	46
55	34	42	0	42	34
73	52	56	0	56	52
67	50	55	0	55	50
54	45	40	0	40	45
60	46	40	0	40	46
63	48	44	0	44	48
63	43	50	0	50	43
58	43	38	0	38	43
77	65	52	0	52	65
53	37	37	0	37	37
49	29	33	0	33	29
51	39	40	0	40	39
69	54	54	0	54	54
68	48	49	0	49	48
57	41	45	0	45	41
74	51	63	0	63	51
74	57	62	0	62	57
56	41	42	0	42	41
70	53	50	0	50	53
60	46	43	0	43	46
70	54	51	0	51	54
57	44	44	0	44	44
79	55	63	0	63	55
56	36	45	0	45	36
66	55	49	0	49	55
60	42	48	0	48	42
73	55	51	0	51	55
72	54	52	0	52	54
76	62	58	0	58	62
68	47	54	0	54	47
72	53	54	0	54	53
64	42	51	0	51	42
70	54	56	0	56	54
56	35	46	0	46	35
58	41	46	0	46	41
67	51	50	0	50	51
45	37	32	0	32	37
60	41	44	0	44	41
64	50	42	0	42	50
60	50	44	0	44	50
69	51	50	0	50	51
66	50	45	0	45	50
50	36	37	0	37	36
67	50	47	0	47	50
63	50	39	0	39	50
58	45	43	0	43	45
60	48	49	0	49	48
69	50	50	0	50	50
49	35	41	0	41	35
64	53	50	0	50	53
51	39	38	0	38	39
71	54	53	0	53	54
47	38	32	0	32	38
58	45	41	0	41	45
69	55	42	0	42	55
57	42	45	0	45	42
64	45	53	0	53	45
62	37	53	0	53	37
62	48	47	0	47	48
50	41	35	0	35	41
66	50	55	0	55	50
56	43	37	0	37	43
54	41	45	0	45	41
62	50	44	0	44	50
68	55	54	0	54	55
58	38	49	0	49	38
70	54	49	0	49	54
69	50	50	0	50	50
62	43	45	0	45	43
56	43	39	0	39	43
58	48	37	0	37	48
63	48	47	0	47	48
63	46	47	0	47	46
62	48	46	0	46	48
54	39	36	0	36	39
63	46	46	0	46	46
62	49	48	0	48	49
62	41	46	0	46	41
53	40	45	0	45	40
66	52	54	0	54	52
62	40	41	0	41	40
63	55	51	0	51	55
58	42	49	0	49	42
55	45	40	0	40	45
59	40	43	0	43	40
79	61	54	0	54	61
48	31	37	0	37	31
69	54	51	0	51	54
60	41	51	0	51	41
56	45	41	0	41	45
56	40	44	0	44	40
70	55	51	0	51	55
65	47	52	0	52	47
61	47	49	0	49	47
64	48	47	0	47	48
58	43	49	0	49	43
67	48	46	0	46	48
64	42	49	0	49	42
72	58	51	0	51	58
53	38	40	0	40	38
58	47	42	0	42	47
59	47	39	0	39	47
66	44	54	0	54	44
52	39	36	0	36	39
58	46	36	0	36	46
55	36	48	0	48	36
66	53	49	0	49	53
75	63	50	0	50	63
62	38	51	0	51	38
72	58	49	0	49	58
60	44	47	0	47	44
70	56	55	0	55	56
48	35	39	0	39	35
67	45	57	0	57	45
57	42	49	0	49	42
58	41	40	0	40	41
64	46	41	0	41	46
59	41	47	0	47	41
51	44	40	0	40	44
60	41	41	0	41	41
60	44	46	0	46	44
65	50	52	0	52	50
58	38	45	0	45	38
55	41	42	0	42	41
64	49	49	0	49	49
61	49	43	0	43	49
66	50	49	0	49	50
52	40	43	0	43	40
61	44	44	0	44	44
64	47	43	0	43	47
61	44	46	0	46	44
63	48	46	0	46	48
70	57	45	0	45	57
53	29	46	0	46	29
67	54	52	0	52	54
61	43	46	0	46	43
73	62	48	0	48	62
55	39	46	0	46	39
68	53	52	0	52	53
68	50	55	0	55	50
61	47	47	0	47	47
61	46	46	0	46	46
64	53	49	0	49	53
68	47	52	0	52	47
62	50	43	0	43	50
50	36	38	0	38	36
55	42	40	0	40	42
54	39	42	0	42	39
57	46	39	0	39	46
53	43	38	0	38	43
57	42	48	0	48	42
59	40	48	0	48	40
61	46	48	0	48	46
58	42	41	0	41	42
42	38	32	0	32	38
59	44	42	0	42	44
72	52	53	0	53	52
54	42	43	0	43	42
68	47	57	0	57	47
58	43	44	0	44	43
57	46	34	0	34	46
74	52	54	0	54	52
64	49	44	0	44	49
63	44	45	0	45	44
51	32	38	0	38	32
59	50	40	0	40	50
56	37	45	0	45	37
56	43	41	0	41	43
67	47	52	0	52	47
55	40	46	0	46	40
60	46	49	0	49	46
58	45	48	0	48	45
63	42	50	0	50	42
64	50	50	0	50	50
64	39	51	0	51	39
69	53	53	0	53	53
62	49	41	0	41	49
63	49	45	0	45	49
69	54	57	0	57	54
80	68	62	0	62	68
53	38	41	0	41	38
61	52	41	0	41	52
72	55	56	0	56	55
66	49	46	0	46	49
69	49	51	0	51	49
62	48	47	0	47	48
57	44	39	0	39	44
62	45	44	0	44	45
71	58	45	0	45	58
67	57	42	0	42	57
52	41	37	0	37	41
82	65	62	0	62	65
52	37	36	0	36	37
78	52	60	0	60	52
67	49	48	0	48	49
59	42	46	0	46	42
74	58	62	0	62	58
61	35	48	0	48	35
67	53	53	0	53	53
64	44	50	0	50	44
76	58	55	0	55	58
53	38	39	0	39	38
57	40	42	0	42	40
55	42	39	0	39	42
66	47	49	0	49	47
62	45	47	0	47	45
47	32	36	0	36	32
75	53	60	0	60	53
49	34	41	0	41	34
69	43	59	0	59	43
57	40	34	0	34	40
57	38	43	0	43	38
75	62	51	0	51	62
72	56	55	0	55	56
70	44	57	0	57	44
77	61	58	0	58	61
52	40	36	0	36	40
57	45	43	0	43	45
63	47	47	0	47	47
60	47	43	0	43	47
64	42	48	0	48	42
73	53	51	0	51	53
68	48	54	0	54	48
57	37	46	0	46	37
65	52	51	0	51	52
53	38	43	0	43	38
60	47	45	0	45	47
51	36	39	0	39	36
50	38	35	0	35	38
59	41	46	0	46	41
53	39	41	0	41	39
67	46	54	0	54	46
54	39	42	0	42	39
63	47	47	0	47	47
73	53	59	0	59	53
58	43	43	0	43	43
48	32	40	0	40	32
76	56	55	0	55	56
65	46	52	0	52	46
58	45	42	0	42	45
77	55	62	0	62	55
59	43	45	0	45	43
66	46	55	0	55	46
56	42	41	0	41	42
58	47	37	0	37	47
53	34	45	0	45	34
66	51	51	0	51	51
54	42	46	0	46	42
70	52	59	0	59	52
66	51	53	0	53	51
66	48	52	0	52	48
58	43	46	0	46	43
69	54	53	0	53	54
69	50	50	0	50	50
56	46	42	0	42	46
58	45	41	0	41	45
52	40	46	0	46	40
59	46	43	0	43	46
54	40	39	0	39	40
66	53	49	0	49	53
68	51	50	0	50	51
73	51	60	0	60	51
58	44	40	0	40	44
73	60	53	0	53	60
66	53	50	0	50	53
50	33	39	0	39	33
64	46	53	0	53	46
73	43	62	0	62	43
51	36	42	0	42	36
55	42	36	0	36	42
68	45	55	0	55	45
50	39	34	0	34	39
71	55	56	0	56	55
69	46	56	0	56	46
55	40	44	0	44	40
61	41	50	0	50	41
72	55	51	0	51	55
57	41	49	0	49	41
69	55	46	0	46	55
55	45	46	0	46	45
66	45	50	0	50	45
75	59	52	0	52	59
67	50	46	0	46	50
66	51	50	0	50	51
68	52	51	0	51	52
60	40	43	0	43	40
63	50	49	0	49	50
39	27	31	0	31	27
64	46	46	0	46	46
57	42	41	0	41	42
40	31	28	0	28	31
52	39	36	0	36	39
51	37	40	0	40	37
61	38	49	0	49	38
69	61	53	0	53	61
66	46	50	0	50	46
61	46	49	0	49	46
62	48	45	0	45	48
71	57	51	0	51	57
60	45	40	0	40	45
63	49	51	0	51	49
56	44	48	0	48	44
64	48	53	0	53	48
54	39	41	0	41	39
75	61	59	0	59	61
53	42	38	0	38	42
67	51	47	0	47	51
61	43	50	0	50	43
56	38	42	0	42	38
62	49	43	0	43	49
62	47	47	0	47	47
48	34	35	0	35	34
63	47	50	0	50	47
58	47	42	0	42	47
58	44	42	0	42	44
48	36	36	0	36	36
42	33	25	0	25	33
64	53	46	0	46	53
66	50	49	0	49	50
66	56	54	0	54	56
68	57	49	0	49	57
57	38	44	0	44	38
56	37	43	0	43	37
58	43	35	0	35	43
61	42	45	0	45	42
71	56	54	0	54	56
60	50	36	0	36	50
59	44	43	0	43	44
59	43	46	0	46	43
66	48	48	0	48	48
49	32	35	0	35	32
54	42	40	0	40	42
59	50	44	0	44	50
58	42	43	0	43	42
66	52	48	0	48	52
67	54	50	0	50	54
71	49	57	0	57	49
65	45	51	0	51	45
62	44	49	0	49	44
51	35	42	0	42	35
61	43	51	0	51	43
61	49	49	0	49	49
52	42	36	0	36	42
65	52	47	0	47	52
60	42	48	0	48	42
41	30	32	0	32	30
82	64	58	0	58	64
53	41	39	0	39	41
65	48	41	0	41	48
74	59	56	0	56	59
58	42	45	0	45	42
76	50	61	0	61	50
59	44	45	0	45	44
61	48	40	0	40	48
67	54	49	0	49	54
74	58	51	0	51	58
77	62	61	0	61	62
75	61	52	0	52	61
65	46	52	0	52	46
66	52	46	0	46	52
61	39	47	0	47	39
72	57	58	0	58	57
49	32	36	0	36	32
74	54	46	0	46	54
58	41	37	0	37	41
56	45	37	0	37	45
74	48	59	0	59	48
74	58	54	0	54	58
66	45	53	0	53	45
64	48	51	0	51	48
63	49	48	0	48	49
61	40	45	0	45	40
59	45	42	0	42	45
59	44	39	0	39	44
69	56	54	0	54	56
68	52	52	0	52	52
68	53	53	0	53	53
68	52	51	0	51	52
57	42	43	0	43	42
66	52	50	0	50	52
62	42	48	0	48	42
57	43	44	0	44	43
61	47	49	0	49	47
71	47	56	0	56	47
57	41	45	0	45	41
56	39	45	0	45	39
86	60	59	0	59	60
62	49	48	0	48	49
74	57	55	0	55	57
66	42	47	0	47	42
64	49	53	0	53	49
66	47	51	0	51	47
58	44	44	0	44	44
55	44	40	0	40	44
69	54	58	0	58	54
55	40	39	0	39	40
47	33	35	0	35	33
47	38	38	0	38	38
66	51	49	0	49	51
49	35	39	0	39	35
64	52	48	0	48	52
72	62	51	0	51	62
62	49	43	0	43	49
64	52	47	0	47	52
62	45	39	0	39	45
76	58	53	0	53	58
71	57	53	0	53	57
59	49	43	0	43	49
78	62	58	0	58	62
63	43	54	0	54	43
62	44	48	0	48	44
65	46	55	0	55	46
64	51	47	0	47	51
60	47	46	0	46	47
63	50	48	0	48	50
65	46	46	0	46	46
68	53	51	0	51	53
49	32	39	0	39	32
64	54	47	0	47	54
60	45	46	0	46	45
71	52	54	0	54	52
74	54	58	0	58	54
70	53	53	0	53	53
55	38	45	0	45	38
60	43	44	0	44	43
69	45	58	0	58	45
58	42	49	0	49	42
56	44	40	0	40	44
56	37	44	0	44	37
53	34	46	0	46	34
63	47	49	0	49	47
73	48	50	0	50	48
59	49	51	0	51	49
61	43	43	0	43	43
65	46	48	0	48	46
68	48	52	0	52	48
58	35	46	0	46	35
60	35	47	0	47	35
63	47	47	0	47	47
65	50	45	0	45	50
61	37	50	0	50	37
64	49	45	0	45	49
49	33	35	0	35	33
66	47	51	0	51	47
67	51	52	0	52	51
64	49	48	0	48	49
53	39	41	0	41	39
69	47	53	0	53	47
59	46	42	0	42	46
73	57	58	0	58	57
57	46	41	0	41	46
59	41	48	0	48	41
55	42	43	0	43	42
58	43	47	0	47	43
57	43	37	0	37	43
67	51	47	0	47	51
45	34	35	0	35	34
58	44	45	0	45	44
67	46	53	0	53	46
61	47	46	0	46	47
56	46	39	0	39	46
69	55	45	0	45	55
64	47	50	0	50	47
66	50	47	0	47	50
68	55	51	0	51	55
65	52	46	0	46	52
67	51	45	0	45	51
79	59	66	0	66	59
70	56	52	0	52	56
40	34	27	0	27	34
60	46	45	0	45	46
68	49	50	0	50	49
62	42	47	0	47	42
67	48	58	0	58	48
64	46	51	0	51	46
62	44	42	0	42	44
65	45	47	0	47	45
76	57	60	0	60	57
57	45	44	0	44	45
64	55	47	0	47	55
60	40	46	0	46	40
58	50	34	0	34	50
61	52	42	0	42	52
75	60	57	0	57	60
71	53	56	0	56	53
60	36	50	0	50	36
68	51	54	0	54	51
62	49	39	0	39	49
61	47	47	0	47	47
64	43	56	0	56	43
70	56	50	0	50	56
54	41	38	0	38	41
71	53	52	0	52	53
69	54	49	0	49	54
47	31	37	0	37	31
69	49	55	0	55	49
64	43	53	0	53	43
65	51	48	0	48	51
56	33	46	0	46	33
73	56	56	0	56	56
61	47	41	0	41	47
72	53	51	0	51	53
65	50	51	0	51	50
67	44	46	0	46	44
69	49	51	0	51	49
60	48	42	0	42	48
62	44	41	0	41	44
64	46	46	0	46	46
57	39	47	0	47	39
66	51	52	0	52	51
60	48	47	0	47	48
74	56	59	0	59	56
64	48	48	0	48	48
43	28	33	0	33	28
61	49	40	0	40	49
66	49	50	0	50	49
73	58	56	0	56	58
71	60	49	0	49	60
67	48	48	0	48	48
54	41	39	0	39	41
65	54	48	0	48	54
55	47	39	0	39	47
65	46	52	0	52	46
70	51	58	0	58	51
62	46	46	0	46	46
47	35	37	0	37	35
62	45	44	0	44	45
81	63	65	0	65	63
67	46	56	0	56	46
63	48	54	0	54	48
59	50	47	0	47	50
77	53	60	0	60	53
60	50	39	0	39	50
53	43	43	0	43	43
57	43	45	0	45	43
72	52	56	0	56	52
63	42	50	0	50	42
58	43	46	0	46	43
53	45	36	0	36	45
51	37	39	0	39	37
71	56	49	0	49	56
73	61	52	0	52	61
66	51	50	0	50	51
59	40	46	0	46	40
56	43	46	0	46	43
57	42	41	0	41	42
52	40	33	0	33	40
51	40	40	0	40	40
64	50	48	0	48	50
62	45	45	0	45	45
76	61	60	0	60	61
62	40	47	0	47	40
55	40	37	0	37	40
54	38	46	0	46	38
69	59	48	0	48	59
60	42	52	0	52	42
74	61	50	0	50	61
54	40	42	0	42	40
53	43	41	0	41	43
59	44	41	0	41	44
67	56	51	0	51	56
84	57	63	0	63	57
71	50	53	0	53	50
66	54	43	0	43	54
79	63	64	0	64	63
72	55	54	0	54	55
65	49	53	0	53	49
64	47	46	0	46	47
53	45	38	0	38	45
61	46	39	0	39	46
84	59	73	0	73	59
60	44	45	0	45	44
61	53	39	0	39	53
65	49	51	0	51	49
60	48	40	0	40	48
64	50	50	0	50	50
50	35	40	0	40	35
61	41	51	0	51	41
50	37	36	0	36	37
51	34	44	0	44	34
68	53	45	0	45	53
58	42	46	0	46	42
71	46	54	0	54	46
48	33	33	0	33	33
58	44	47	0	47	44
66	47	45	0	45	47
67	46	52	0	52	46
65	52	43	0	43	52
64	53	52	0	52	53
61	45	48	0	48	45
55	39	44	0	44	39
58	40	44	0	44	40
72	55	53	0	53	55
60	48	42	0	42	48
72	52	50	0	50	52
61	47	44	0	44	47
61	45	40	0	40	45
57	45	42	0	42	45
54	45	40	0	40	45
66	52	47	0	47	52
70	43	57	0	57	43
59	46	48	0	48	46
69	49	54	0	54	49
64	52	41	0	41	52
60	46	48	0	48	46
47	34	36	0	36	34
58	41	45	0	45	41
73	51	46	0	46	51
55	45	42	0	42	45
64	49	38	0	38	49
44	36	35	0	35	36
72	56	54	0	54	56
72	54	52	0	52	54
67	43	56	0	56	43
61	46	49	0	49	46
72	55	55	0	55	55
64	45	50	0	50	45
52	42	38	0	38	42
57	45	42	0	42	45
59	44	47	0	47	44
58	37	46	0	46	37
58	42	46	0	46	42
68	46	50	0	50	46
54	37	43	0	43	37
59	44	42	0	42	44
61	46	46	0	46	46
57	44	45	0	45	44
62	47	44	0	44	47
52	40	37	0	37	40
53	39	40	0	40	39
68	48	50	0	50	48
54	37	41	0	41	37
70	55	52	0	52	55
68	50	49	0	49	50
61	41	43	0	43	41
62	52	43	0	43	52
54	43	45	0	45	43
61	46	50	0	50	46
68	51	54	0	54	51
65	47	46	0	46	47
59	45	47	0	47	45
47	36	35	0	35	36
59	48	42	0	42	48
73	52	56	0	56	52
54	42	39	0	39	42
63	51	49	0	49	51
56	45	42	0	42	45
62	43	50	0	50	43
62	49	49	0	49	49
58	47	39	0	39	47
60	50	44	0	44	50
53	42	37	0	37	42
61	52	40	0	40	52
62	43	47	0	47	43
70	51	55	0	55	51
59	39	48	0	48	39
66	49	44	0	44	49
67	54	53	0	53	54
62	49	46	0	46	49
52	34	44	0	44	34
69	55	48	0	48	55
62	49	47	0	47	49
64	43	46	0	46	43
60	41	49	0	49	41
58	39	45	0	45	39
75	53	60	0	60	53
73	55	56	0	56	55
76	53	60	0	60	53
67	54	47	0	47	54
53	47	41	0	41	47
56	44	40	0	40	44
70	51	54	0	54	51
69	57	49	0	49	57
66	52	50	0	50	52
61	39	51	0	51	39
72	55	59	0	59	55
56	45	42	0	42	45
52	38	41	0	41	38
60	47	51	0	51	47
60	45	46	0	46	45
58	42	46	0	46	42
64	52	42	0	42	52
60	44	47	0	47	44
70	57	51	0	51	57
60	46	42	0	42	46
63	40	48	0	48	40
62	46	46	0	46	46
61	47	44	0	44	47
61	53	42	0	42	53
49	35	39	0	39	35
75	52	59	0	59	52
71	47	57	0	57	47
59	44	45	0	45	44
56	41	42	0	42	41
53	38	39	0	39	38
64	49	45	0	45	49
63	48	50	0	50	48
66	55	44	0	44	55
68	52	50	0	50	52
66	46	53	0	53	46
69	46	54	0	54	46
60	46	43	0	43	46
57	45	43	0	43	45
63	55	44	0	44	55
54	41	40	0	40	41
67	47	54	0	54	47
67	47	51	0	51	47
58	47	40	0	40	47
52	40	36	0	36	40
59	46	43	0	43	46
39	31	27	0	27	31
61	47	47	0	47	47
43	29	30	0	30	29
46	35	37	0	37	35
59	43	44	0	44	43
72	52	56	0	56	52
71	54	51	0	51	54
58	44	40	0	40	44
57	47	39	0	39	47
52	40	43	0	43	40
58	42	48	0	48	42
81	64	55	0	55	64
56	45	35	0	35	45
81	64	63	0	63	64
61	46	39	0	39	46
65	45	52	0	52	45
54	41	37	0	37	41
42	32	32	0	32	32
58	43	50	0	50	43
77	57	50	0	50	57
74	56	55	0	55	56
75	53	61	0	61	53
69	49	54	0	54	49
54	42	40	0	40	42
73	46	62	0	62	46
62	45	47	0	47	45
52	43	37	0	37	43
57	44	47	0	47	44
59	49	50	0	50	49
50	30	45	0	45	30
68	48	54	0	54	48
73	58	46	0	46	58
72	56	53	0	53	56
65	43	50	0	50	43
61	47	45	0	45	47
63	46	45	0	45	46
83	72	55	0	55	72
64	48	48	0	48	48
49	36	31	0	31	36
46	32	34	0	34	32
67	49	45	0	45	49
58	34	45	0	45	34
73	53	61	0	61	53
48	38	31	0	31	38
56	39	48	0	48	39
63	46	48	0	48	46
67	45	55	0	55	45
69	47	53	0	53	47
73	56	52	0	52	56
75	57	60	0	60	57
70	55	54	0	54	55
52	38	39	0	39	38
61	49	44	0	44	49
57	48	47	0	47	48
72	56	52	0	52	56
64	46	54	0	54	46
57	37	44	0	44	37
69	62	52	0	52	62
63	47	50	0	50	47
48	36	37	0	37	36
54	40	41	0	41	40
67	54	50	0	50	54
66	45	50	0	50	45
82	61	56	0	56	61
69	49	55	0	55	49
65	51	49	0	49	51
53	40	41	0	41	40
61	41	42	0	42	41
61	43	45	0	45	43
49	37	34	0	34	37
60	46	50	0	50	46
60	45	44	0	44	45
71	51	49	0	49	51
66	47	45	0	45	47
56	42	44	0	44	42
75	59	55	0	55	59
67	48	46	0	46	48
73	53	57	0	57	53
66	51	46	0	46	51
63	49	48	0	48	49
60	46	49	0	49	46
69	54	55	0	55	54
51	41	41	0	41	41
77	56	49	0	49	56
56	44	44	0	44	44
55	39	44	0	44	39
68	49	56	0	56	49
76	59	60	0	60	59
51	37	34	0	34	37
64	49	56	0	56	49
61	43	52	0	52	43
64	45	56	0	56	45
67	51	48	0	48	51
65	55	44	0	44	55
61	40	46	0	46	40
70	50	58	0	58	50
67	55	48	0	48	55
53	41	37	0	37	41
61	45	44	0	44	45
65	46	45	0	45	46
50	37	34	0	34	37
77	56	58	0	58	56
72	47	52	0	52	47
57	42	44	0	44	42
55	41	35	0	35	41
56	37	46	0	46	37
71	52	63	0	63	52
67	50	53	0	53	50
54	41	38	0	38	41
59	37	47	0	47	37
55	41	42	0	42	41
66	46	52	0	52	46
61	40	48	0	48	40
64	49	46	0	46	49
54	41	38	0	38	41
74	56	49	0	49	56
56	48	40	0	40	48
49	41	39	0	39	41
42	32	38	0	38	32
61	51	42	0	42	51
66	50	50	0	50	50
57	38	45	0	45	38
67	53	50	0	50	53
70	55	52	0	52	55
63	48	43	0	43	48
70	54	49	0	49	54
69	54	53	0	53	54
47	29	33	0	33	29
74	55	57	0	57	55
61	48	47	0	47	48
66	51	52	0	52	51
70	45	56	0	56	45
64	54	48	0	48	54
55	43	44	0	44	43
61	46	43	0	43	46
71	54	49	0	49	54
56	44	42	0	42	44
54	38	43	0	43	38
60	40	46	0	46	40
69	59	43	0	43	59
72	56	53	0	53	56
57	40	38	0	38	40
68	49	48	0	48	49
69	58	54	0	54	58
67	55	50	0	50	55
57	48	43	0	43	48
74	52	57	0	57	52
71	53	56	0	56	53
56	41	42	0	42	41
76	58	54	0	54	58
61	45	43	0	43	45
67	48	49	0	49	48
63	46	43	0	43	46
46	34	32	0	32	34
57	44	43	0	43	44
49	35	38	0	38	35
61	39	52	0	52	39
78	59	63	0	63	59
64	48	47	0	47	48
58	45	38	0	38	45
59	42	43	0	43	42
62	43	49	0	49	43
61	43	50	0	50	43
73	52	52	0	52	52
65	49	54	0	54	49
65	60	44	0	44	60
63	45	50	0	50	45
56	40	41	0	41	40
72	56	55	0	55	56
59	42	46	0	46	42
56	43	43	0	43	43
57	44	42	0	42	44
60	39	47	0	47	39
61	52	40	0	40	52
72	56	61	0	61	56
56	41	44	0	44	41
71	52	50	0	50	52
64	52	47	0	47	52
56	38	42	0	42	38
71	54	52	0	52	54
70	49	54	0	54	49
62	49	44	0	44	49
69	50	52	0	52	50
72	55	53	0	53	55
60	41	43	0	43	41
69	53	51	0	51	53
66	46	50	0	50	46
52	39	35	0	35	39
62	45	46	0	46	45
67	54	47	0	47	54
56	45	41	0	41	45
68	49	51	0	51	49
56	44	44	0	44	44
64	52	48	0	48	52
60	41	46	0	46	41
65	52	41	0	41	52
51	37	36	0	36	37
61	43	45	0	45	43
50	37	43	0	43	37
53	41	44	0	44	41
56	45	39	0	39	45
59	45	40	0	40	45
53	43	37	0	37	43
61	45	50	0	50	45
59	44	44	0	44	44
72	54	54	0	54	54
58	43	43	0	43	43
72	50	62	0	62	50
50	37	40	0	40	37
67	56	47	0	47	56
64	55	44	0	44	55
68	48	50	0	50	48
66	48	51	0	51	48
64	54	46	0	46	54
72	54	52	0	52	54
80	60	61	0	61	60
74	49	60	0	60	49
64	49	48	0	48	49
75	59	58	0	58	59
70	56	44	0	44	56
55	43	37	0	37	43
58	46	39	0	39	46
69	56	53	0	53	56
62	54	44	0	44	54
59	47	45	0	45	47
68	45	54	0	54	45
58	41	44	0	44	41
70	48	54	0	54	48
54	43	39	0	39	43
67	48	49	0	49	48
60	45	48	0	48	45
73	51	55	0	55	51
64	52	42	0	42	52
71	58	49	0	49	58
63	46	52	0	52	46
68	56	48	0	48	56
82	59	70	0	70	59
47	36	37	0	37	36
64	43	51	0	51	43
65	47	54	0	54	47
67	49	56	0	56	49
60	41	49	0	49	41
60	46	47	0	47	46
55	46	37	0	37	46
74	51	58	0	58	51
66	56	48	0	48	56
67	46	52	0	52	46
64	49	50	0	50	49
58	44	51	0	51	44
73	54	61	0	61	54
65	50	52	0	52	50
69	55	47	0	47	55
61	49	40	0	40	49
71	53	53	0	53	53
62	47	43	0	43	47
57	44	37	0	37	44
58	47	41	0	41	47
81	58	64	0	64	58
49	37	38	0	38	37
80	64	63	0	63	64
65	54	45	0	45	54
61	44	52	0	52	44
60	42	50	0	50	42
46	31	32	0	32	31
65	46	50	0	50	46
68	46	50	0	50	46
60	53	45	0	45	53
55	38	43	0	43	38
73	56	48	0	48	56
63	51	48	0	48	51
66	47	51	0	51	47
57	46	37	0	37	46
57	38	44	0	44	38
58	45	41	0	41	45
41	31	32	0	32	31
53	39	38	0	38	39
75	56	56	0	56	56
62	51	43	0	43	51
56	46	39	0	39	46
54	40	42	0	42	40
71	51	57	0	57	51
60	53	41	0	41	53
67	55	53	0	53	55
70	48	56	0	56	48
58	42	41	0	41	42
74	55	59	0	59	55
57	36	41	0	41	36
50	36	36	0	36	36
67	49	52	0	52	49
51	36	42	0	42	36
64	43	50	0	50	43
78	64	53	0	53	64
68	46	52	0	52	46
54	41	38	0	38	41
54	45	31	0	31	45
66	50	55	0	55	50
56	41	44	0	44	41
70	56	52	0	52	56
58	40	47	0	47	40
62	48	45	0	45	48
67	49	52	0	52	49
75	58	56	0	56	58
71	49	56	0	56	49
62	46	45	0	45	46
70	52	52	0	52	52
61	48	40	0	40	48
71	49	54	0	54	49
62	49	48	0	48	49
64	48	48	0	48	48
64	48	44	0	44	48
71	57	58	0	58	57
56	44	41	0	41	44
64	48	49	0	49	48
75	57	47	0	47	57
64	49	51	0	51	49
63	46	47	0	47	46
73	48	58	0	58	48
69	58	49	0	49	58
53	43	35	0	35	43
61	48	40	0	40	48
66	42	56	0	56	42
58	38	43	0	43	38
62	49	49	0	49	49
64	52	45	0	45	52
61	43	48	0	48	43
56	42	41	0	41	42
54	38	36	0	36	38
61	50	45	0	45	50
52	35	39	0	39	35
83	61	57	0	57	61
49	35	36	0	36	35
62	46	47	0	47	46
69	56	51	0	51	56
76	60	52	0	52	60
67	55	57	0	57	55
64	53	47	0	47	53
69	55	53	0	53	55
59	50	39	0	39	50
61	43	45	0	45	43
66	48	53	0	53	48
72	53	58	0	58	53
76	54	57	0	57	54
73	63	51	0	51	63
65	44	54	0	54	44
77	55	58	0	58	55
54	41	38	0	38	41
61	50	42	0	42	50
73	57	56	0	56	57
72	53	50	0	50	53
54	44	40	0	40	44
54	38	40	0	40	38
72	53	55	0	55	53
57	46	46	0	46	46
61	48	42	0	42	48
73	56	52	0	52	56
58	42	40	0	40	42
57	47	42	0	42	47
73	55	59	0	59	55
59	44	44	0	44	44
52	41	38	0	38	41
63	46	48	0	48	46
65	53	43	0	43	53
71	57	54	0	54	57
57	45	40	0	40	45
68	51	55	0	55	51
56	50	38	0	38	50
49	39	35	0	35	39
66	50	53	0	53	50
64	53	45	0	45	53
69	43	50	0	50	43
73	50	54	0	54	50
52	37	38	0	38	37
69	54	54	0	54	54
55	38	43	0	43	38
