canal A	 canal B canal C ABC AB	AC
56	51	47	42	51	47
45	33	41	29	33	41
59	56	45	42	56	45
53	50	47	44	50	47
35	32	28	25	32	28
40	39	36	35	39	36
37	32	29	24	32	29
42	35	34	27	35	34
46	40	42	36	40	42
56	48	53	45	48	53
55	46	46	37	46	46
49	38	44	33	38	44
44	40	39	35	40	39
67	55	56	44	55	56
44	37	39	32	37	39
44	40	36	32	40	36
44	36	39	31	36	39
61	52	50	41	52	50
57	52	45	40	52	45
48	44	42	38	44	42
67	58	57	48	58	57
58	47	49	38	47	49
52	45	45	38	45	45
48	42	38	32	42	38
32	27	30	25	27	30
57	45	51	39	45	51
46	43	39	36	43	39
43	39	36	32	39	36
54	45	47	38	45	47
47	38	41	32	38	41
48	42	40	34	42	40
48	42	41	35	42	41
51	42	46	37	42	46
45	40	35	30	40	35
67	59	57	49	59	57
58	55	46	43	55	46
57	51	50	44	51	50
53	44	48	39	44	48
46	40	38	32	40	38
48	40	40	32	40	40
55	47	47	39	47	47
54	46	44	36	46	44
53	50	47	44	50	47
52	43	44	35	43	44
58	45	52	39	45	52
49	45	41	37	45	41
51	47	41	37	47	41
46	37	44	35	37	44
54	46	47	39	46	47
57	45	51	39	45	51
60	58	52	50	58	52
45	39	36	30	39	36
64	51	57	44	51	57
67	57	53	43	57	53
52	45	43	36	45	43
62	55	57	50	55	57
35	29	32	26	29	32
57	52	43	38	52	43
47	41	40	34	41	40
45	37	34	26	37	34
44	36	36	28	36	36
48	43	37	32	43	37
48	42	42	36	42	42
42	37	37	32	37	37
58	47	53	42	47	53
47	37	44	34	37	44
50	42	43	35	42	43
50	43	42	35	43	42
58	45	51	38	45	51
33	29	27	23	29	27
50	38	48	36	38	48
45	40	36	31	40	36
51	44	45	38	44	45
47	38	39	30	38	39
53	44	48	39	44	48
44	35	34	25	35	34
54	45	52	43	45	52
60	51	50	41	51	50
42	38	38	34	38	38
47	42	42	37	42	42
46	40	40	34	40	40
49	39	44	34	39	44
53	41	49	37	41	49
42	36	38	32	36	38
51	46	43	38	46	43
57	45	52	40	45	52
58	49	46	37	49	46
52	37	48	33	37	48
45	39	37	31	39	37
55	48	48	41	48	48
64	57	55	48	57	55
61	51	51	41	51	51
52	49	45	42	49	45
63	55	55	47	55	55
43	37	36	30	37	36
53	42	46	35	42	46
42	37	33	28	37	33
60	53	53	46	53	53
62	53	53	44	53	53
52	45	48	41	45	48
48	44	42	38	44	42
47	39	44	36	39	44
