canal A	 canal B canal C ABC AB	AC
69	65	64	60	65	64
81	70	76	65	70	76
65	60	58	53	60	58
52	48	49	45	48	49
61	59	57	55	59	57
64	58	58	52	58	58
74	71	70	67	71	70
60	55	50	45	55	50
67	63	61	57	63	61
75	69	66	60	69	66
68	62	64	58	62	64
67	59	63	55	59	63
55	52	49	46	52	49
54	48	50	44	48	50
58	56	56	54	56	56
53	50	48	45	50	48
65	59	59	53	59	59
70	62	66	58	62	66
61	56	59	54	56	59
56	49	54	47	49	54
65	56	64	55	56	64
56	49	52	45	49	52
73	69	66	62	69	66
66	63	63	60	63	63
77	71	73	67	71	73
70	63	66	59	63	66
66	58	63	55	58	63
70	57	66	53	57	66
68	66	63	61	66	63
70	67	64	61	67	64
61	57	54	50	57	54
64	59	59	54	59	59
73	71	63	61	71	63
66	59	60	53	59	60
59	47	54	42	47	54
66	63	62	59	63	62
59	55	54	50	55	54
64	57	59	52	57	59
58	55	50	47	55	50
54	49	50	45	49	50
60	54	55	49	54	55
56	53	52	49	53	52
75	70	66	61	70	66
59	55	54	50	55	54
54	52	52	50	52	52
53	48	50	45	48	50
48	41	43	36	41	43
71	65	64	58	65	64
74	67	69	62	67	69
49	47	48	46	47	48
72	64	60	52	64	60
62	49	61	48	49	61
70	62	63	55	62	63
60	54	57	51	54	57
73	66	64	57	66	64
57	54	52	49	54	52
65	62	59	56	62	59
53	50	47	44	50	47
51	41	48	38	41	48
58	56	53	51	56	53
61	56	56	51	56	56
84	76	78	70	76	78
64	59	60	55	59	60
59	58	53	52	58	53
71	63	66	58	63	66
66	56	64	54	56	64
80	74	75	69	74	75
49	47	44	42	47	44
75	66	70	61	66	70
69	62	64	57	62	64
40	39	35	34	39	35
53	48	48	43	48	48
63	58	58	53	58	58
52	48	50	46	48	50
54	51	47	44	51	47
59	55	52	48	55	52
61	51	57	47	51	57
61	55	54	48	55	54
59	56	53	50	56	53
57	51	53	47	51	53
68	58	61	51	58	61
68	60	59	51	60	59
65	58	62	55	58	62
50	47	46	43	47	46
45	41	43	39	41	43
67	61	61	55	61	61
66	63	57	54	63	57
63	58	58	53	58	58
62	53	58	49	53	58
63	59	57	53	59	57
52	48	48	44	48	48
69	62	64	57	62	64
81	76	76	71	76	76
49	43	44	38	43	44
51	48	49	46	48	49
71	66	66	61	66	66
52	51	50	49	51	50
54	48	50	44	48	50
70	61	64	55	61	64
61	57	53	49	57	53
65	61	60	56	61	60
62	56	56	50	56	56
70	65	66	61	65	66
69	60	63	54	60	63
75	71	65	61	71	65
52	49	49	46	49	49
63	61	60	58	61	60
54	51	49	46	51	49
72	66	65	59	66	65
55	54	46	45	54	46
68	60	59	51	60	59
66	61	61	56	61	61
55	48	50	43	48	50
63	55	55	47	55	55
57	51	51	45	51	51
70	66	64	60	66	64
62	58	55	51	58	55
64	64	54	54	64	54
83	74	78	69	74	78
56	52	52	48	52	52
58	55	52	49	55	52
81	76	77	72	76	77
