32;;;;
36;;;;
36;;;;36,44949435
28;;;;
40;;;;
36;;;;
28;;;;
40;;;;
36;;;;
36;;;;
60;;;;
24;;;;
36;;;;
44;;;;
40;;;;
40;;;;
40;;;;
40;;;;
40;;;;
28;;;;
40;;;;
36;;;;
24;;;;
24;;;;
44;;;;
40;;;;
44;;;;
40;;;;
28;;;;
36;;;;
44;;;;
40;;;;
36;;;;
36;;;;
28;;;;
40;;;;
32;;;;
36;;;;
32;;;;
40;;;;
36;;;;
44;;;;
32;;;;
32;;;;
32;;;;
32;;;;
44;;;;
32;;;;
40;;;;
40;;;;
40;;;;
28;;;;
28;;;;
44;;;;
28;;;;
44;;;;
40;;;;
32;;;;
24;;;;
52;;;;
44;;;;
36;;;;
36;;;;
36;;;;
28;;;;
24;;;;
40;;;;
28;;;;
36;;;;
36;;;;
40;;;;
24;;;;
40;;;;
28;;;;
36;;;;
28;;;;
36;;;;
28;;;;
32;;;;
36;;;;
40;;;;
36;;;;
48;;;;
40;;;;
28;;;;
24;;;;
44;;;;
48;;;;
52;;;;
44;;;;
44;;;;
28;;;;
28;;;;
36;;;;
36;;;;
44;;;;
24;;;;
28;;;;
40;;;;
44;;;;
28;;;;
40;;;;
32;;;;
40;;;;
44;;;;
36;;;;
32;;;;
28;;;;
36;;;;
44;;;;
28;;;;
36;;;;
20;;;;
28;;;;
36;;;;
44;;;;
40;;;;
36;;;;
44;;;;
44;;;;
48;;;;
44;;;;
40;;;;
40;;;;
44;;;;
24;;;;
44;;;;
32;;;;
44;;;;
44;;;;
24;;;;
40;;;;
44;;;;
36;;;;
44;;;;
24;;;;
36;;;;
24;;;;
36;;;;
44;;;;
44;;;;
44;;;;
40;;;;
44;;;;
36;;;;
40;;;;
52;;;;
40;;;;
40;;;;
36;;;;
28;;;;
28;;;;
36;;;;
40;;;;
40;;;;
32;;;;
40;;;;
44;;;;
28;;;;
36;;;;
48;;;;
40;;;;
32;;;;
36;;;;
24;;;;
32;;;;
36;;;;
32;;;;
24;;;;
36;;;;
32;;;;
28;;;;
28;;;;
36;;;;
36;;;;
44;;;;
40;;;;
36;;;;
32;;;;
44;;;;
44;;;;
36;;;;
28;;;;
32;;;;
36;;;;
32;;;;
48;;;;
36;;;;
36;;;;
40;;;;
36;;;;
40;;;;
36;;;;
44;;;;
36;;;;
44;;;;
24;;;;
32;;;;
44;;;;
36;;;;
28;;;;
36;;;;
36;;;;
24;;;;
28;;;;
28;;;;
32;;;;
40;;;;
36;;;;
32;;;;
20;;;;
32;;;;
40;;;;
36;;;;
36;;;;
36;;;;
40;;;;
32;;;;
32;;;;
28;;;;
44;;;;
48;;;;
36;;;;
40;;;;
28;;;;
52;;;;
36;;;;
40;;;;
24;;;;
36;;;;
48;;;;
36;;;;
40;;;;
40;;;;
36;;;;
48;;;;
44;;;;
36;;;;
36;;;;
40;;;;
24;;;;
24;;;;
40;;;;
36;;;;
28;;;;
40;;;;
36;;;;
28;;;;
36;;;;
48;;;;
40;;;;
48;;;;
36;;;;
